State,City,Hospital ID,Hospital Name,Address,Pin Code,Phone No.,Mobile,Fax,Contact Perso,Email,LATITUDE,LONGITUDE
Andhra Pradesh,Visakhapatnam,HOS-HYD-5142,Rama Nursing Home,"Dr.Nageswar Rao Street, Nagoyolonka",521120,08671-274285,NA,NA,NA,NA,17.690965,83.21832
Andhra Pradesh,Visakhapatnam,HOS-HYD-6039,Sraddha Hospital,14 37 45 Collector S Office Junction,530001,0891-2797878,NA,NA,NA,baskar@sraddhahospital.in,17.709526,83.30859
Andhra Pradesh,Visakhapatnam,HOS-VIZ-1288,A.N. Beach Hospital,"15-9-13/24, Krishna Nagar, Near Beach Road, Visakhapatnam",530002,0891-2525617,NA,NA,NA,anbeachhospital@yahoo.co.in,17.711407,83.312562
Andhra Pradesh,Visakhapatnam,HOS-HYD-490,Sri Sai Hospitals,"18-1-34, Opp. K.G.H. Gate, Maharanipeta",530002,0891-2703444,NA,NA,NA,abhayacriticalcar@yahoo.com,17.687244,83.218471
Andhra Pradesh,Visakhapatnam,HOS-HYD-229,Bharathi Hospital,"14-24-1, Men'S Hostel Road, Maharanipet, Visakhapatnam",530002,0891-2526500,NA,NA,NA,bharogyam@gmail.com,17.691456,83.218492
Andhra Pradesh,Visakhapatnam,HOS-HYD-514,Visakha Hospital And Diagnostics Pvt Limited (Care Ho,"A.S.Raja Complex, 10-50-11/5, Waltair Main Road, Ramnagarmaharanipeta",530002,0891-2714014,NA,NA,NA,carevisakhainsu@carehospitals.com,17.73528,83.334878
Andhra Pradesh,Visakhapatnam,HOS-VIZ-1908,Gayatri Nursing Home,"# 14-38-5, Near Maharani Peta",530002,0891-2706560,NA,NA,NA,gayatrinursinghome@gmail.com,17.714677,83.310502
Andhra Pradesh,Visakhapatnam,HOS-HYD-703,Lazarus Hospitals Ltd,Waltair Main Road,530002,0891-2784784,NA,NA,NA,lazarushospitalsltd@yahoo.com,17.725469,83.307215
Andhra Pradesh,Visakhapatnam,HOS-HYD-446,Mythri Nursing Home,16-1-4 K.G.H. Beach Roadvishakapatnam,530002,0891-2706963,NA,NA,NA,NA,17.71435,83.308931
Andhra Pradesh,Visakhapatnam,HOS-VIZ-1317,Rhea Hospital (Metroxmulti Speciality Hospital),"# 18-01-03, K.G.H. Downmaharanipeta, Jagadamba Jn",530002,0891-2793636,NA,NA,NA,hospital@hotmail.com,17.692601,83.238724
Andhra Pradesh,Visakhapatnam,HOS-HYD-979,Sevenhills Healthcare Private Limited,"11-4-4/A, Rockdale Layout, (Raghavendra Swamy Temple), Waltair Main Road",530002,0891-6677777,NA,NA,NA,suryaprakash.b@sevenhillshospital.com,17.723998,83.31239
Andhra Pradesh,Visakhapatnam,HOS-VIZ-2072,Simhadri Hospital,"15-12-1, Krishna Nagar, Maharani Peta, Visakhapatnam",530002,0891-2784545,NA,NA,NA,simhadrihospital@gmail.com,17.690802,83.217977
Andhra Pradesh,Visakhapatnam,HOS-VIZ-3612,Surya Sri Hospital Pvt. Ltd.,"15-14-19/1, Maharanipeta, Krishna Nagar, Near District Collector'S Office, Visak",530002,0891-2552233,NA,NA,NA,tpabilling@gmail.com,17.721422,83.323034
Andhra Pradesh,Visakhapatnam,HOS-VIZ-3760,Pallavi Hospital,"No.15-2-8A, Gokhale Road, Maharanipeta",530002,0891-2567735,NA,NA,NA,pallavihospital@yahoo.com,17.690802,83.218663
Andhra Pradesh,Visakhapatnam,HOS-HYD-4719,"MyCure Hospitals (Maxcure Group Of Hospitals, A Unit","18-1-3, Kgh Down, Maharanipeta, Jagadambal Junction, Vishakapatnam",530002,0891-3044000,NA,NA,NA,billing.vizag@mycurehospitals.com,17.729067,83.304322
Andhra Pradesh,Visakhapatnam,HOS-VIZ-4141,Apex Hospital (Steel City Critical Care Pvt Ltd),"16-1-5, Coastal Battery Road, Maharanipeta",530002,0891-2797791,NA,NA,NA,kottasridhar@yahoo.co.in,17.72132,83.322906
Andhra Pradesh,Visakhapatnam,HOS-HYD-4348,Vijetha Hospital,"D.No. 18-1-15&16, Kgh Down Road, Maharanipeta",530002,0891-2550354,NA,NA,NA,vijethahospitalvsp@gmail.com,17.712224,83.310845
Andhra Pradesh,Visakhapatnam,HOS-HYD-4844,Indus Hospital (A Unit Of M/S Vasugan Medical Speciali,"#18-1-6, K.G.H.Down Road, Maharanipeta, Near Lepakshi Showroom, Hotel Das",530002,0891-2508881,NA,NA,NA,indus.tpa@gmail.com,17.715822,83.302777
Andhra Pradesh,Visakhapatnam,HOS-HYD-5674,Sagara Durga Hospital,"15-13-6, Krishna Nagar, Near Z.P Junction",530002,0891-2526833,NA,NA,NA,sagaradurga@yahoo.com,17.690474,83.218663
Andhra Pradesh,Visakhapatnam,HOS-HYD-5677,Visakha Children Hospital,"D.No.14-38-1, Maharanipeta, Opp American Hospital Z.P. Junction",530002,0891-2569669,NA,NA,NA,vvisakhachildrenhospital@yahoo.com,17.717948,83.305498
Andhra Pradesh,Visakhapatnam,HOS-HYD-6250,"MyCure Hospitals (Maxcure Group Of Hospitals, A Unit","15-2-8A, Gokhale Road Survey No 7/448 Block No-4, Maharanipeta",530002,0891-3044545,NA,NA,NA,billing.vizag@mycurehospitals.com,17.719583,83.314768
Andhra Pradesh,Visakhapatnam,HOS-HYD-6553,Abc Hospitals,"#16-1-13, Kgh To Beach Down, Opp. Coastal Battery, Maharanipeta",530002,0891-2500069,NA,NA,NA,abchospitals@hotmail.com,17.714023,83.308785
Andhra Pradesh,Visakhapatnam,HOS-HYD-6597,Aditya Multi Care Hospital,"18-1-33, Opp. K.G.H.O.P Gate, Aditya Medical Complex",530002,0891-2566664,NA,NA,NA,koduru17@gmail.com,17.687285,83.21845
Andhra Pradesh,Visakhapatnam,HOS-HYD-6053,Vasan Eye Care Hospital - Vizag,"Rock Dale Layout,Waltair Main Road, Vishakapatnam - 530002, Andhra Pradesh",530002,0891-3989000,NA,NA,NA,vizag.tpa@gmail.com,17.744763,83.299318
Andhra Pradesh,Visakhapatnam,HOS-HYD-7232,Sri Venkata Raman Hospital,"#15-12-18/A, Krishna Nagar",530002,0891-2718315,NA,NA,NA,venkataramanahospital@gmail.com,17.709118,83.311064
Andhra Pradesh,Visakhapatnam,HOS-HYD-7526,Omni Rk Hospital ( A Unit Of Incor Hospitals Vizag Pvt.,"Ramnagar, Opp. Lions Club, Vishakapatnam",530002,0891-3080300,NA,NA,NA,billing.omnirk@omnihospitals.in,17.718379,83.31103
Andhra Pradesh,Visakhapatnam,HOS-HYD-7638,L.G Hospitals (A Unit Of L.G.H. Medical Specialities Priv,"17-1-17, Dr.C S Mangamma Building Maharanipeta Visakapatnam",530002,0891-2720077,NA,NA,NA,drmangamma.tpa@gmail.com,17.709486,83.305765
